ticker,fiscal_year,altman_z,net_debt_ebitda,current_ratio,sloan_accruals,ccr,ev_ebitda,fcf_yield,fcf,ebitda,net_debt,market_cap,sic
NPK,2025.0,11.002303974572332,-0.07414162600884593,4.244957925666923,0.08431906280642823,-0.2083124344535133,22.080239653394397,-0.037223093171200164,-36171000.0,43862000.0,-3252000.0,971735471.677185,3480.0
NPO,2025.0,3.6637163555433356,2.0446293494704992,2.3195548489666136,,,22.015923453722102,,,264400000.0,540600000.0,5280410161.164124,3050.0
NSIT,2025.0,1.8533572191792784,2.2738196413314204,1.246475179862951,-0.01611907160838139,0.688570696872245,7.193920058511264,0.12865599409201445,279307000.0,441243000.0,1003307000.0,2170959868.3776855,5961.0
NSP,2025.0,,-7.8,1.0629629629629629,0.1230140717203813,-7.942857142857143,21.088971099853516,-0.3056035259288343,-309000000.0,35000000.0,-273000000.0,1011113988.494873,7363.0
NSSC,2025.0,15.5494000811694,-1.7229572791372874,6.752462900611048,-0.049870286011337965,1.1100580671920366,27.056549979907572,0.0370463556252743,51411000.0,48220000.0,-83081000.0,1387747840.0311432,3669.0
NTCT,2025.0,2.3418505069194904,1.5055658688153355,1.7482913818969827,-0.24450299882054757,-0.716453379677173,-6.226626037617519,0.0903568395713993,212263000.0,-303816000.0,-457415000.0,2349163616.2448044,7373.0
NVRI,2025.0,1.7891677273849704,9.287525930813102,1.1366777913769825,-0.09931364864909765,0.6433188903197975,18.944834208491507,-0.026192098475234033,-39872000.0,157631000.0,1464002000.0,1522291161.1187248,8900.0
NWBI,2025.0,,,,-0.0016343189565313026,0.8777103953315407,,0.07707804011867395,141785000.0,174790000.0,,1839499289.054306,6021.0
NWL,2025.0,-0.7569365677239329,12.771428571428572,1.0724752475247525,-0.05123658422771815,0.7542857142857143,16.897754319735935,0.18279839263662723,264000000.0,350000000.0,4470000000.0,1444214011.9075775,3089.0
NWN,2025.0,,5.752986691218803,0.7208268326070453,-0.02526414207397032,0.602880395701584,10.674728337306018,-0.09001567396553795,-197769000.0,446397000.0,2568116000.0,2197050705.588394,4924.0
NX,2025.0,1.032419645342456,-6.5104742122243335,2.037951304409597,-0.19389037507045792,-1.8219052459451097,-15.377148118190433,0.1274197792585502,102255000.0,-90508000.0,589250000.0,802504921.8811798,3350.0
NXRT,2025.0,,12.77075450341192,,-0.06128861085474648,0.6758271077908218,17.9222333340344,0.13119089294775546,83589000.0,123684000.0,1579538000.0,637155507.6867104,6798.0
OFG,2025.0,,-4.086556024747128,,-0.0010120605757081235,0.8552253756260434,2.8104622022214274,0.11353004022661668,199337000.0,254575000.0,-1040335000.0,1755808415.1305199,6022.0
OGN,2025.0,1.568405370529267,13.917383820998278,1.8209205020920503,-0.03986943343436698,1.2048192771084338,16.62807547272175,0.3416064207778395,538000000.0,581000000.0,8086000000.0,1574911849.6513367,2834.0
OI,2025.0,,9.706976744186047,1.2450933460986118,-0.07887049659201557,1.3953488372093024,13.4762566998291,0.1036531324328097,168000000.0,430000000.0,4174000000.0,1620790380.9265137,3221.0
OII,2025.0,,-0.49521517574673,1.9854908457896934,,0.7838139461710344,9.454615934572953,0.051349656715352555,207846000.0,406807000.0,-201457000.0,4047660944.495819,1389.0
OMCL,2025.0,3.0909231442830643,-2.3407777976296824,1.4268908056708958,-0.06342570085885593,1.5162884878804122,16.537793274407417,0.0548187489758786,86885000.0,83955000.0,-196520000.0,1584950434.3528748,3571.0
